"Course","Students"
0,0
1,2251
2,2307
3,2302
4,2176
5,2306
6,2238
7,2282
8,2320
9,2303
10,2253
11,2272
12,2256
13,2273
14,2335
15,2302
16,2295
17,2338
18,2303
19,2340
20,2259
21,2163
22,2290
23,2362
24,2334
25,2301
26,2308
27,2330
28,2267
29,2297
30,2293
31,2270
32,2406
33,2276
34,2328
35,2327
36,2237
37,2259
38,2266
39,2285
40,2326
41,2268
42,2277
43,2308
44,2314
45,2274
46,2207
47,2328
48,2243
49,2292
50,2226
51,2225
52,2232
53,2363
54,2343
55,2254
56,2288
57,2361
58,2221
59,2250
60,2303
61,2287
62,2255
63,2247
64,2266
65,2272
66,2362
67,2343
68,2174
69,2364
70,2383
71,2325
72,2329
73,2276
74,2281
75,2272
76,2266
77,2248
78,2364
79,2327
80,2307
81,2384
82,2274
83,2290
84,2269
85,2274
86,2268
87,2297
88,2239
89,2261
90,2272
91,2302
92,2306
93,2349
94,2302
95,2269
96,2355
97,2350
98,2316
99,2316
100,2274
101,2261
102,2306
103,2285
104,2363
105,2250
106,2253
107,2307
108,2262
109,2220
110,2325
111,2168
112,2331
113,2274
114,2246
115,2332
116,2361
117,2291
118,2242
119,2327
120,2357
121,2379
122,2256
123,2368
124,2214
125,2222
126,2298
127,2417
128,2395
129,2370
130,2271
131,2202
132,2294
133,2219
134,2327
135,2257
136,2299
137,2322
138,2394
139,2278
140,2296
141,2255
142,2253
143,2238
144,2273
145,2277
146,2315
147,2365
148,2291
149,2183
150,2169
151,2352
152,2407
153,2269
154,2266
155,2263
156,2292
157,2262
158,2297
159,2338
160,2272
161,2224
162,2333
163,2256
164,2206
165,2224
166,2242
167,2281
168,2303
169,2279
170,2250
171,2256
172,2242
173,2251
174,2304
175,2236
176,2291
177,2232
178,2262
179,2254
180,2391
181,2301
182,2244
183,2217
184,2246
185,2339
186,2319
187,2347
188,2308
189,2285
190,2251
191,2309
192,2304
193,2355
194,2308
195,2325
196,2340
197,2383
198,2296
199,2266
200,2221
201,2336
202,2286
203,2294
204,2270
205,2259
206,2234
207,2312
208,2416
209,2260
210,2335
211,2317
212,2295
213,2402
214,2161
215,2290
216,2229
217,2286
218,2303
219,2259
220,2346
221,2249
222,2256
223,2310
224,2311
225,2286
226,2256
227,2312
228,2241
229,2288
230,2255
231,2220
232,2325
233,2273
234,2315
235,2330
236,2310
237,2329
238,2262
239,2338
240,2367
241,2225
242,2307
243,2293
244,2282
245,2256
246,2280
247,2249
248,2289
249,2246
250,2298
251,2211
252,2347
253,2312
254,2250
255,2226
256,2329
257,2272
258,2337
259,2283
260,2375
261,2258
262,2329
263,2311
264,2327
265,2225
266,2281
267,2326
268,2366
269,2324
270,2268
271,2267
272,2305
273,2161
274,2286
275,2273
276,2339
277,2314
278,2267
279,2220
280,2271
281,2288
282,2240
283,2274
284,2246
285,2317
