"Course","Students"
1000,220
2000,197
3000,228
4000,226
5000,229
6000,231
7000,219
8000,218
9000,218
10000,222
11000,198
12000,238
13000,220
14000,222
15000,200
16000,214
17000,215
18000,235
19000,210
20000,257
21000,218
22000,228
23000,226
24000,215
25000,230
26000,106
27000,103
28000,108
29000,103
30000,110
31000,118
32000,118
33000,109
34000,113
35000,104
36000,88
37000,114
38000,98
39000,118
40000,111
41000,111
42000,104
43000,94
44000,106
45000,100
46000,126
47000,103
48000,113
49000,104
50000,108
51000,55
52000,47
53000,49
54000,46
55000,51
56000,56
57000,49
58000,57
59000,48
60000,55
61000,50
62000,39
63000,57
64000,53
65000,48
66000,50
67000,50
68000,58
69000,49
70000,61
71000,58
72000,42
73000,57
74000,52
75000,53
76000,21
77000,14
78000,16
79000,12
80000,19
81000,22
82000,20
83000,20
84000,16
85000,15
86000,22
87000,20
88000,22
89000,20
90000,18
91000,17
92000,19
93000,27
94000,16
95000,14
96000,19
97000,22
98000,21
99000,19
